context,response
new to ubuntu,not particularly i'm troubleshooting a cups issue
i'm upgrading firefox but where should i put it usrlib or usrshare,opt
are there known problems with xfx graphics cards with hardy,no but problems with ati and nvidia drivers
if nobody here replies you might want to try ubuntude for german speakers,one would assume they have done such things
except cheese,you can also use vlc
anything with an intel ralink or orinco chipset,atheros works to but it can be a bit of a pain
the tvout worked before larssonsweden,yes it is still working but there is no option for it in fireglcontrol
intrepid work perfect,demand a refund or just rant some more in the channel perhaps
if you have to ask you should wait all further jaunty questions in ubuntu1,check the release notes
which packages to install to play mp3,lame and lameextras
hello quick question how do i find out the version of ubuntu that i am using,'no lsb modules available'
hii've been trying to install ubuntu but install or running it from a live cd both freeze,freeze as in you are unable to do anything and you must shutdown by holdin the power button
did you try syntax on,install the vimfull package edgy seems to only ship with vimbasic
try wcmd or wineconsole dunno if it works,found this httpubuntuforumsorgshowthreadphpt688731
there is system47 or 74 something like that,oh here we go system76com
cpu was sky high and for a long time of period,just kill it may be it got mad
right on and welcome,one think i cant tun all programes in ubuntu and play some games
momkeydust ty,bluefish 1
hello,is this the general help forum
can anyone see this,no
what is it,oh sorry never done that
packagesubuntucom,atlef thanks
anyone know some cool irc chats,ubuntuofftopic
btw is it okay to lurk in the channel,yes as long as you don't spamannoy
i have a question,just ask it
how do i use it any gui for it,i use vsftpd
system adminstartion software sources and let it find the best server,i'll give that a try thanks
i believe spamassassin can be made to work with evolution,damn
how can i turn off usplash to see the boot messages,thanks
yes open the 'file management' preferences window,i can't find it where it is
iceroot,what is the concern
bitchslap lucy,that is not necessary
windows is used by billions worldwide,does that mean windows is the best kickass os on the planet
hi evrybody,i have the breezy how to pass into the stable
if you are in the sudo grace period no,sudo i is advised instead of sudo su
tag daren,i'm running debian on windows vista
does anyone still use wine anymore,lots of people and winehq has solid support too
hello all,hi
are you playing dvd disks or rips,i am play real store baught dvds
there are posix acl they are similar to windows',oh really can you give me an idea of a googleable package
are you using a television as your display device,using a 19' widescreen tft
ok guysgirls gtg bye,bye
anyone help with ics,can you please expand that acronym ics
does anyone know of a hosting program simmular to cpanel but non commercial,no
i suspect it doesn't,httpwwwubuntugeekcomsendandreceiveyourhotmailmessagesthroughevolutionhtml may help you
httpshelpubuntucomcommunitydatarecovery,yeah what i gave is more about disk fialure
are we doing your homework assignment,i'm in the offtopic channel actually no i could just choose 3 random ones but i was just curious mostly
does kubuntu not boot into a gui,it boots into a gui but you can select an option to make it not boot into a gui
hi all im new to unbuntu todayis it possiable to run yahoo,ryan it works fine
does your system normally boot from cds,okay try running the cd integrity check
ta,usually fat16
hi my internal mic doesn't seem to work any help,mic as in nic or as in microphone
submit a bug,how
what about ctrlaltnumlock,i can't remember which of the number pad keys modify 5' to do what
what should i do if i can't find the program i want to install in synaptics,aptget install yourprogram if there is not packeges download the source and compile configure make then sudo make install
packagesubuntucom,thanks
how much swap is recommended with a core2 duo and 2gb of ram 4gb,thanks i'm used to systems with less ram
i don't see any difference,you can actually update packages with each release
is it possible to install ubuntu leaving home intact,if you have separate partition for it
yeah that too,yup or at least it's in development
i'm looking for an os with futuristic graphicswhat would be my best bet,install ubuntu and customize it
should be no problem running kde4apps in gnome,dl via synaptic dependencies are automatically installed
how do i open up a private conversation,msg nick
i've not used it for years since i've started using this,so cool this is
there are always dangers working at the partition level,ok worst case i'll reinstall everything
did you delete your usr,i didn't hope i didn't
whats the command to show all the list of partitions,how do i check how much free space i got on my linux driver
default ubuntu kernels support ipv,have you looked at ifconfig
why do not you just use skype witch comes with 810,what
you can install xchatindicator,ahh cool will try
connect to it,how
hmmvia rc init scripts perhaps or you could give the user permissions to whatever you need to sudo,thanks
radio automation system,i think there's an rpm installer available for ubuntu
hey guys im having problems activating this wireless card it says 'probe of 1310 failed with error 14' any dieas,what card
like cyanogenmod,yes but using the androidkernel
but column structure is same,wrong channel but yes you can same way as excell
what is the beryl settings manager called now,what package do i install if i want to control berylcompiz
why not go get it yourself,switch distributions
press altf2 and run tsclient,its in a default install
hey guys i just installed windowsxp on virtualbox vm how do i get the internet working in the vm,so i can surf the net from windows
